emoji/emoticon|key words
🙈|evil face forbidden monkey see see-no-evil monkey
🙉|evil face forbidden hear hear-no-evil monkey monkey
🙊|evil face forbidden monkey speak speak-no-evil monkey
💋|kiss kiss mark lips
💌|love letter
💘|arrow cupid heart with arrow
💝|heart with ribbon ribbon valentine
💖|excited sparkle sparkling heart
💗|excited growing growing heart nervous pulse
💓|beating beating heart heartbeat pulsating
💞|revolving revolving hearts
💕|love two hearts
💟|heart heart decoration
❣|exclamation heart exclamation mark punctuation
💔|break broken broken heart
❤️‍🔥|⊛ heart on fire
❤️‍🩹|⊛ mending heart
❤|heart red heart
🧡|orange orange heart
💛|yellow yellow heart
💚|green green heart
💙|blue blue heart
💜|purple purple heart
🤎|brown heart
🖤|black black heart evil wicked
🤍|white heart
💯|100 full hundred hundred points score
💢|anger symbol angry comic mad
💥|boom collision comic
💫|comic dizzy star
💦|comic splashing sweat sweat droplets
💨|comic dash dashing away running
🕳|hole
💣|bomb comic
💬|speech balloon
👁️‍🗨️|eye eye in speech bubble speech bubble witness
🗨|dialog left speech bubble speech
🗯|angry balloon bubble mad right anger bubble
💭|thought balloon
💤|comic sleep zzz
👋|waving hand
🤚|backhand raised raised back of hand
🖐|finger hand hand with fingers splayed splayed
✋|hand high 5 high five raised hand
🖖|finger hand spock vulcan vulcan salute
👌|OK hand
🤌|pinched fingers
🤏|pinching hand small amount
✌|victory hand
🤞|cross crossed fingers finger hand luck
🤟|hand ILY love-you gesture
🤘|finger hand horns rock-on sign of the horns
🤙|call call me hand hand
👈|backhand backhand index pointing left finger hand index point
👉|backhand backhand index pointing right finger hand index point
👆|backhand backhand index pointing up finger hand point up
🖕|finger hand middle finger
👇|backhand backhand index pointing down down finger hand point
☝|finger hand index index pointing up point up
👍|+1 hand thumb thumbs up up
👎|-1 down hand thumb thumbs down
✊|clenched fist hand punch raised fist
👊|clenched fist hand oncoming fist punch
🤛|fist left-facing fist leftwards
🤜|fist right-facing fist rightwards
👏|clap clapping hands hand
🙌|celebration gesture hand hooray raised raising hands
👐|hand open open hands
🤲|palms up together prayer cupped hands
🤝|agreement hand handshake meeting shake
🙏|ask folded hands hand high 5 high five please pray thanks
✍|hand write writing hand
💅|nail polish
🤳|camera phone selfie
💪|biceps comic flex flexed biceps muscle
🦾|accessibility mechanical arm prosthetic
🦿|accessibility mechanical leg prosthetic
🦵|kick leg limb
🦶|foot kick stomp
👂|body ear
🦻|accessibility ear with hearing aid hard of hearing
👃|body nose
🧠|brain intelligent
🫀|anatomical heart
🫁|breath exhalation inhalation lungs organ respiration
🦷|dentist tooth
🦴|bone skeleton
👀|eye eyes face
👁|body eye
👅|body tongue
👄|lips mouth
👶|baby young
🧒|child gender-neutral unspecified gender young
👦|boy young
👧|girl Virgo young zodiac
🧑|adult gender-neutral person unspecified gender
👱|blond blond-haired person hair person: blond hair
👨|adult man
🧔|beard person person: beard bewhiskered
🧔‍♂️|⊛ man: beard
🧔‍♀️|⊛ woman: beard
👨‍🦰|man: red hair
👨‍🦱|man: curly hair
👨‍🦳|man: white hair
👨‍🦲|man: bald
👩|adult woman
👩‍🦰|woman: red hair
🧑‍🦰|person: red hair
👩‍🦱|woman: curly hair
🧑‍🦱|person: curly hair
👩‍🦳|woman: white hair
🧑‍🦳|person: white hair
👩‍🦲|woman: bald
🧑‍🦲|person: bald
👱‍♀️|blond-haired woman blonde hair woman woman: blond hair
👱‍♂️|blond blond-haired man hair man man: blond hair
🧓|adult gender-neutral old older person unspecified gender
👴|old man
👵|old woman
🙍|frown gesture person frowning
🙍‍♂️|man frowning
🙍‍♀️|woman frowning
🙎|gesture person pouting pouting
🙎‍♂️|man pouting
🙎‍♀️|woman pouting
🙅|forbidden gesture hand person gesturing NO prohibited
🙅‍♂️|forbidden gesture hand man man gesturing NO prohibited
🙅‍♀️|forbidden gesture hand prohibited woman woman gesturing NO
🙆|gesture hand OK person gesturing OK
🙆‍♂️|gesture hand man man gesturing OK OK
🙆‍♀️|gesture hand OK woman woman gesturing OK
💁|hand help information person tipping hand sassy tipping
💁‍♂️|man man tipping hand sassy tipping hand
💁‍♀️|sassy tipping hand woman woman tipping hand
🙋|gesture hand happy person raising hand raised
🙋‍♂️|gesture man man raising hand raising hand
🙋‍♀️|gesture raising hand woman woman raising hand
🧏|accessibility deaf deaf person ear hear
🧏‍♂️|deaf man
🧏‍♀️|deaf woman
🙇|apology bow gesture person bowing sorry
🙇‍♂️|man bowing
🙇‍♀️|woman bowing
🤦|disbelief exasperation face palm person facepalming
🤦‍♂️|disbelief exasperation facepalm man man facepalming
🤦‍♀️|disbelief exasperation facepalm woman woman facepalming
🤷|doubt ignorance indifference person shrugging shrug
🤷‍♂️|doubt ignorance indifference man man shrugging shrug
🤷‍♀️|doubt ignorance indifference shrug woman woman shrugging
🧑‍⚕️|doctor health worker healthcare nurse therapist
👨‍⚕️|doctor healthcare man man health worker nurse therapist
👩‍⚕️|doctor healthcare nurse therapist woman woman health worker
🧑‍🎓|graduate student
👨‍🎓|man student
👩‍🎓|woman student
🧑‍🏫|instructor professor teacher
👨‍🏫|man teacher
👩‍🏫|woman teacher
🧑‍⚖️|judge justice scales
👨‍⚖️|man judge
👩‍⚖️|woman judge
🧑‍🌾|farmer gardener rancher
👨‍🌾|man farmer
👩‍🌾|woman farmer
🧑‍🍳|chef cook
👨‍🍳|man cook
👩‍🍳|woman cook
🧑‍🔧|electrician mechanic plumber tradesperson
👨‍🔧|man mechanic
👩‍🔧|woman mechanic
🧑‍🏭|factory worker
👨‍🏭|man factory worker
👩‍🏭|woman factory worker
🧑‍💼|architect business manager office worker white-collar
👨‍💼|architect business man man office worker manager white-collar
👩‍💼|architect business manager white-collar woman woman office worker
🧑‍🔬|biologist chemist engineer physicist scientist
👨‍🔬|man scientist
👩‍🔬|woman scientist
🧑‍💻|coder developer inventor software technologist
👨‍💻|man technologist
👩‍💻|woman technologist
🧑‍🎤|actor entertainer rock singer star
👨‍🎤|man singer
👩‍🎤|woman singer
🧑‍🎨|artist palette
👨‍🎨|man artist
👩‍🎨|woman artist
🧑‍✈️|pilot plane
👨‍✈️|man pilot
👩‍✈️|woman pilot
🧑‍🚀|astronaut rocket
👨‍🚀|man astronaut
👩‍🚀|woman astronaut
🧑‍🚒|firefighter firetruck
👨‍🚒|man firefighter
👩‍🚒|woman firefighter
👮|police officer
👮‍♂️|man police officer
👮‍♀️|woman police officer
🕵|detective sleuth spy
🕵️‍♂️|man detective
🕵️‍♀️|woman detective
💂|guard
💂‍♂️|man guard
💂‍♀️|woman guard
🥷|fighter hidden ninja stealth
👷|construction worker
👷‍♂️|man construction worker
👷‍♀️|woman construction worker
🤴|prince
👸|fairy tale fantasy princess
👳|person wearing turban turban
👳‍♂️|man man wearing turban turban
👳‍♀️|turban woman woman wearing turban
👲|cap gua pi mao hat person person with skullcap skullcap
🧕|headscarf hijab mantilla tichel woman with headscarf bandana head kerchief
🤵|groom person person in tuxedo tuxedo
🤵‍♂️|man man in tuxedo tuxedo
🤵‍♀️|tuxedo woman woman in tuxedo
👰|bride person person with veil veil wedding
👰‍♂️|man man with veil veil
👰‍♀️|veil woman woman with veil
🤰|pregnant woman
🤱|baby breast breast-feeding nursing
👩‍🍼|woman feeding baby
👨‍🍼|man feeding baby
🧑‍🍼|person feeding baby
👼|baby angel
🎅|celebration Christmas claus father santa Santa Claus
🤶|celebration Christmas claus mother Mrs. Mrs. Claus
🧑‍🎄|Claus, christmas mx claus
🦸|good hero heroine superhero superpower
🦸‍♂️|good hero man man superhero superpower
🦸‍♀️|good hero heroine superpower woman woman superhero
🦹|criminal evil superpower supervillain villain
🦹‍♂️|criminal evil man man supervillain superpower villain
🦹‍♀️|criminal evil superpower villain woman woman supervillain
🧙|mage sorcerer sorceress witch wizard
🧙‍♂️|man mage sorcerer wizard
🧙‍♀️|sorceress witch woman mage
🧚|fairy Oberon Puck Titania
🧚‍♂️|man fairy Oberon Puck
🧚‍♀️|Titania woman fairy
🧛|Dracula undead vampire
🧛‍♂️|Dracula man vampire undead
🧛‍♀️|undead woman vampire
🧜|mermaid merman merperson merwoman
🧜‍♂️|merman Triton
🧜‍♀️|mermaid merwoman
🧝|elf magical LOTR style
🧝‍♂️|magical man elf
🧝‍♀️|magical woman elf
🧞|djinn genie (non-human color)
🧞‍♂️|djinn man genie
🧞‍♀️|djinn woman genie
🧟|undead walking dead zombie (non-human color)
🧟‍♂️|man zombie undead walking dead
🧟‍♀️|undead walking dead woman zombie
💆|face massage person getting massage salon
💆‍♂️|face man man getting massage massage
💆‍♀️|face massage woman woman getting massage
💇|barber beauty haircut parlor person getting haircut
💇‍♂️|haircut man man getting haircut
💇‍♀️|haircut woman woman getting haircut
🚶|hike person walking walk walking
🚶‍♂️|hike man man walking walk
🚶‍♀️|hike walk woman woman walking
🧍|person standing stand standing
🧍‍♂️|man standing
🧍‍♀️|woman standing
🧎|kneel kneeling person kneeling
🧎‍♂️|man kneeling
🧎‍♀️|woman kneeling
🧑‍🦯|accessibility blind person with white cane
👨‍🦯|accessibility blind man man with white cane
👩‍🦯|accessibility blind woman woman with white cane
🧑‍🦼|accessibility person in motorized wheelchair wheelchair
👨‍🦼|accessibility man man in motorized wheelchair wheelchair
👩‍🦼|accessibility wheelchair woman woman in motorized wheelchair
🧑‍🦽|accessibility person in manual wheelchair wheelchair
👨‍🦽|accessibility man man in manual wheelchair wheelchair
👩‍🦽|accessibility wheelchair woman woman in manual wheelchair
🏃|marathon person running running
🏃‍♂️|man running
🏃‍♀️|woman running
💃|woman dancing
🕺|man dancing
🕴|business person person in suit levitating suit
👯|bunny ear dancer partying people with bunny ears
👯‍♂️|bunny ear dancer men men with bunny ears partying
👯‍♀️|bunny ear dancer partying women women with bunny ears
🧖|person in steamy room sauna steam room hamam steambath
🧖‍♂️|man in steamy room sauna steam room
🧖‍♀️|sauna steam room woman in steamy room
🧗|climber person climbing
🧗‍♂️|climber man climbing
🧗‍♀️|climber woman climbing
🤺|fencer fencing person fencing sword
🏇|horse racing
⛷|ski skier snow
🏂|ski snow snowboard snowboarder
🏌|ball golf person golfing
🏌️‍♂️|golf man man golfing
🏌️‍♀️|golf woman woman golfing
🏄|person surfing surfing
🏄‍♂️|man surfing
🏄‍♀️|woman surfing
🚣|boat person rowing boat rowboat
🚣‍♂️|boat man man rowing boat rowboat
🚣‍♀️|boat rowboat woman woman rowing boat
🏊|person swimming swim
🏊‍♂️|man man swimming swim
🏊‍♀️|swim woman woman swimming
⛹|ball person bouncing ball
⛹️‍♂️|ball man man bouncing ball
⛹️‍♀️|ball woman woman bouncing ball
🏋|lifter person lifting weights weight
🏋️‍♂️|man man lifting weights weight lifter
🏋️‍♀️|weight lifter woman woman lifting weights
🚴|bicycle biking cyclist person biking
🚴‍♂️|man biking
🚴‍♀️|woman biking
🚵|bicycle bicyclist bike cyclist mountain person mountain biking
🚵‍♂️|bicycle bike cyclist man man mountain biking mountain
🚵‍♀️|woman mountain biking
🤸|cartwheel gymnastics person cartwheeling
🤸‍♂️|cartwheel gymnastics man man cartwheeling
🤸‍♀️|cartwheel gymnastics woman woman cartwheeling
🤼|people wrestling wrestle wrestler
🤼‍♂️|men men wrestling wrestle
🤼‍♀️|women women wrestling wrestle
🤽|person playing water polo polo water
🤽‍♂️|man man playing water polo water polo
🤽‍♀️|water polo woman woman playing water polo
🤾|ball handball person playing handball
🤾‍♂️|handball man man playing handball
🤾‍♀️|handball woman woman playing handball
🤹|balance juggle multitask person juggling skill
🤹‍♂️|man juggling
🤹‍♀️|woman juggling
🧘|meditation person in lotus position yoga serenity
🧘‍♂️|man in lotus position meditation yoga
🧘‍♀️|meditation woman in lotus position yoga
🛀|bath bathtub person taking bath
🛌|hotel person in bed sleep
🧑‍🤝‍🧑|couple hand hold holding hands people holding hands person
👭|couple hand holding hands women women holding hands
👫|couple hand hold holding hands man woman woman and man holding hands
👬|couple Gemini holding hands man men men holding hands twins zodiac
💏|couple kiss
👩‍❤️‍💋‍👨|kiss: woman, man
👨‍❤️‍💋‍👨|kiss: man, man
👩‍❤️‍💋‍👩|kiss: woman, woman
💑|couple couple with heart love
👩‍❤️‍👨|couple with heart: woman, man
👨‍❤️‍👨|couple with heart: man, man
👩‍❤️‍👩|couple with heart: woman, woman
👪|family
👨‍👩‍👦|family: man, woman, boy
👨‍👩‍👧|family: man, woman, girl
👨‍👩‍👧‍👦|family: man, woman, girl, boy
👨‍👩‍👦‍👦|family: man, woman, boy, boy
👨‍👩‍👧‍👧|family: man, woman, girl, girl
👨‍👨‍👦|family: man, man, boy
👨‍👨‍👧|family: man, man, girl
👨‍👨‍👧‍👦|family: man, man, girl, boy
👨‍👨‍👦‍👦|family: man, man, boy, boy
👨‍👨‍👧‍👧|family: man, man, girl, girl
👩‍👩‍👦|family: woman, woman, boy
👩‍👩‍👧|family: woman, woman, girl
👩‍👩‍👧‍👦|family: woman, woman, girl, boy
👩‍👩‍👦‍👦|family: woman, woman, boy, boy
👩‍👩‍👧‍👧|family: woman, woman, girl, girl
👨‍👦|family: man, boy
👨‍👦‍👦|family: man, boy, boy
👨‍👧|family: man, girl
👨‍👧‍👦|family: man, girl, boy
👨‍👧‍👧|family: man, girl, girl
👩‍👦|family: woman, boy
👩‍👦‍👦|family: woman, boy, boy
👩‍👧|family: woman, girl
👩‍👧‍👦|family: woman, girl, boy
👩‍👧‍👧|family: woman, girl, girl
🗣|speaking head
👤|bust bust in silhouette silhouette
👥|bust busts in silhouette silhouette
🫂|goodbye hello hug people hugging thanks
👣|clothing footprint footprints print
🦰|ginger red hair redhead
🦱|afro curly curly hair ringlets
🦳|white hair
🦲|bald chemotherapy hairless no hair shaven
🐵|monkey face
🐒|monkey
🦍|gorilla
🦧|ape orangutan
🐶|dog face
🐕|dog pet
🦮|accessibility blind guide guide dog
🐕‍🦺|service dog
🐩|dog poodle
🐺|face wolf
🦊|face fox
🦝|curious raccoon sly
🐱|cat face
🐈|cat pet
🐈‍⬛|black cat
🦁|face Leo lion zodiac
🐯|tiger face
🐅|tiger
🐆|leopard
🐴|horse face
🐎|equestrian horse racehorse racing
🦄|face unicorn
🦓|stripe zebra
🦌|deer
🦬|bison buffalo herd wisent
🐮|cow face
🐂|bull ox Taurus zodiac
🐃|water buffalo
🐄|cow
🐷|pig face
🐖|pig sow
🐗|boar pig
🐽|pig nose
🐏|Aries male ram sheep zodiac
🐑|ewe female sheep
🐐|Capricorn goat zodiac
🐪|camel dromedary hump
🐫|bactrian camel hump two-hump camel
🦙|alpaca guanaco llama vicuña wool
🦒|giraffe spots
🐘|elephant
🦣|extinction large mammoth tusk woolly
🦏|rhinoceros
🦛|hippo hippopotamus
🐭|mouse face
🐁|mouse
🐀|rat
🐹|face hamster pet
🐰|rabbit face
🐇|bunny pet rabbit
🐿|chipmunk squirrel
🦫|beaver dam
🦔|hedgehog spiny
🦇|bat vampire
🐻|bear face
🐻‍❄️|arctic bear polar bear white
🐨|bear koala
🐼|face panda
🦥|lazy sloth slow
🦦|fishing otter playful
🦨|skunk stink
🦘|Australia joey jump kangaroo marsupial
🦡|badger honey badger pester
🐾|feet paw paw prints print
🦃|bird turkey
🐔|bird chicken
🐓|bird rooster
🐣|hatching chick
🐤|baby chick
🐥|baby bird chick front-facing baby chick
🐦|bird
🐧|bird penguin
🕊|bird dove fly peace
🦅|bird eagle
🦆|bird duck
🦢|bird cygnet swan ugly duckling
🦉|bird owl wise
🦤|dodo extinction large Mauritius
🪶|bird feather flight light plumage
🦩|flamboyant flamingo tropical
🦚|bird ostentatious peacock peahen proud
🦜|bird parrot pirate talk
🐸|face frog
🐊|crocodile
🐢|terrapin tortoise turtle
🦎|lizard reptile
🐍|bearer Ophiuchus serpent snake zodiac
🐲|dragon face
🐉|dragon fairy tale
🦕|brachiosaurus brontosaurus diplodocus sauropod
🦖|T-Rex Tyrannosaurus Rex
🐳|spouting whale
🐋|whale
🐬|dolphin flipper
🦭|sea Lion seal
🐟|fish Pisces zodiac
🐠|tropical fish
🐡|blowfish fish
🦈|fish shark
🐙|octopus
🐚|spiral shell
🐌|snail
🦋|butterfly insect pretty
🐛|bug insect
🐜|ant insect
🐝|bee honeybee insect
🪲|beetle bug insect
🐞|beetle insect lady beetle ladybird ladybug
🦗|cricket grasshopper Orthoptera
🪳|cockroach insect pest roach
🕷|insect spider
🕸|spider web
🦂|scorpio Scorpio scorpion zodiac
🦟|disease fever malaria mosquito pest virus
🪰|disease fly maggot pest rotting
🪱|annelid earthworm parasite worm
🦠|amoeba bacteria microbe virus
💐|bouquet flower
🌸|cherry blossom
💮|flower white flower
🏵|plant rosette
🌹|flower rose
🥀|wilted flower
🌺|flower hibiscus
🌻|flower sun sunflower
🌼|blossom flower
🌷|flower tulip
🌱|seedling young
🪴|boring grow house nurturing plant potted plant useless
🌲|evergreen tree tree
🌳|deciduous tree
🌴|palm tree
🌵|cactus plant
🌾|ear grain rice sheaf of rice
🌿|herb leaf
☘|plant shamrock
🍀|four leaf clover
🍁|maple leaf
🍂|fallen leaf falling leaf
🍃|blow flutter leaf leaf fluttering in wind wind
🍇|fruit grape grapes
🍈|fruit melon
🍉|fruit watermelon
🍊|fruit orange tangerine
🍋|citrus fruit lemon
🍌|banana fruit
🍍|fruit pineapple
🥭|fruit mango tropical
🍎|red apple
🍏|green apple
🍐|fruit pear
🍑|fruit peach
🍒|berries cherries cherry fruit red
🍓|berry fruit strawberry
🫐|berry bilberry blue blueberries blueberry
🥝|kiwi fruit
🍅|fruit tomato vegetable
🫒|food olive
🥥|coconut palm piña colada
🥑|avocado food fruit
🍆|aubergine eggplant vegetable
🥔|food potato vegetable
🥕|carrot food vegetable
🌽|corn ear ear of corn maize maze
🌶|hot pepper
🫑|bell pepper capsicum pepper vegetable
🥒|cucumber food pickle vegetable
🥬|bok choy cabbage kale leafy green lettuce
🥦|broccoli wild cabbage
🧄|flavoring garlic
🧅|flavoring onion
🍄|mushroom toadstool
🥜|food nut peanut peanuts vegetable
🌰|chestnut plant
🍞|bread loaf
🥐|bread breakfast croissant food french roll
🥖|baguette bread
🫓|arepa flatbread lavash naan pita
🥨|pretzel twisted convoluted
🥯|bagel bakery breakfast schmear
🥞|breakfast crêpe food hotcake pancake pancakes
🧇|breakfast indecisive iron waffle
🧀|cheese cheese wedge
🍖|bone meat meat on bone
🍗|poultry leg
🥩|chop cut of meat lambchop porkchop steak
🥓|bacon breakfast food meat
🍔|burger hamburger
🍟|french fries
🍕|cheese pizza slice
🌭|frankfurter hot dog hotdog sausage
🥪|bread sandwich
🌮|mexican taco
🌯|burrito mexican wrap
🫔|mexican tamale wrapped
🥙|stuffed flatbread
🧆|chickpea falafel meatball
🥚|breakfast egg food
🍳|breakfast cooking egg frying pan
🥘|casserole food paella pan shallow shallow pan of food
🍲|pot pot of food stew
🫕|cheese chocolate fondue melted pot Swiss
🥣|bowl with spoon breakfast cereal congee oatmeal porridge
🥗|green salad
🍿|popcorn
🧈|butter dairy
🧂|condiment salt shaker
🥫|can canned food
🍱|bento box
🍘|rice cracker
🍙|rice ball
🍚|cooked rice
🍛|curry rice
🍜|steaming bowl
🍝|pasta spaghetti
🍠|roasted sweet potato
🍢|kebab oden seafood skewer stick
🍣|sushi
🍤|fried shrimp
🍥|cake fish fish cake with swirl pastry swirl
🥮|autumn festival moon cake yuèbǐng
🍡|dango dessert Japanese skewer stick sweet
🥟|dumpling empanada gyōza jiaozi pierogi potsticker
🥠|fortune cookie prophecy
🥡|oyster pail takeout box
🦀|Cancer crab zodiac
🦞|bisque claws lobster seafood
🦐|food shellfish shrimp small
🦑|food molusc squid
🦪|diving oyster pearl
🍦|soft ice cream
🍧|shaved ice
🍨|ice cream
🍩|breakfast dessert donut doughnut sweet
🍪|cookie dessert sweet
🎂|birthday cake
🍰|cake dessert pastry shortcake slice sweet
🧁|bakery cupcake sweet
🥧|filling pastry pie fruit meat
🍫|chocolate bar
🍬|candy dessert sweet
🍭|candy dessert lollipop sweet
🍮|custard dessert pudding sweet
🍯|honey pot
🍼|baby bottle
🥛|drink glass glass of milk milk
☕|hot beverage
🫖|drink pot tea teapot
🍵|beverage cup drink tea teacup teacup without handle
🍶|bar beverage bottle cup drink sake
🍾|bar bottle bottle with popping cork cork drink popping
🍷|wine glass
🍸|cocktail glass
🍹|tropical drink
🍺|beer mug
🍻|bar beer clink clinking beer mugs drink mug
🥂|celebrate clink clinking glasses drink glass
🥃|tumbler glass
🥤|cup with straw juice soda malt soft drink water
🧋|bubble tea
🧃|beverage box
🧉|drink mate
🧊|cold ice ice cube iceberg
🥢|chopsticks hashi jeotgarak kuaizi
🍽|cooking fork fork and knife with plate knife plate
🍴|cooking cutlery fork fork and knife knife
🥄|spoon tableware
🔪|cooking hocho kitchen knife knife tool weapon
🏺|amphora Aquarius cooking drink jug zodiac
🌍|Africa earth Europe globe globe showing Europe-Africa world
🌎|Americas earth globe globe showing Americas world
🌏|Asia Australia earth globe globe showing Asia-Australia world
🌐|earth globe globe with meridians meridians world
🗺|world map
🗾|Japan map map of Japan
🧭|compass magnetic navigation orienteering
🏔|cold mountain snow snow-capped mountain
⛰|mountain
🌋|eruption mountain volcano
🗻|fuji mount fuji mountain
🏕|camping
🏖|beach beach with umbrella umbrella
🏜|desert
🏝|desert island
🏞|national park park
🏟|stadium
🏛|classical classical building
🏗|building construction construction
🧱|brick bricks clay mortar wall
🪨|boulder heavy rock solid stone
🪵|log lumber timber wood
🛖|house hut roundhouse yurt
🏘|houses
🏚|derelict house
🏠|home house
🏡|garden home house house with garden
🏢|building office building
🏣|Japanese Japanese post office post
🏤|European post post office
🏥|doctor hospital medicine
🏦|bank building
🏨|building hotel
🏩|love hotel
🏪|convenience store
🏫|building school
🏬|department store
🏭|building factory
🏯|Japanese castle
🏰|castle European
💒|chapel romance wedding
🗼|Tokyo tower
🗽|liberty statue Statue of Liberty
⛪|Christian church cross religion
🕌|islam mosque Muslim religion
🛕|hindu temple
🕍|Jew Jewish religion synagogue temple
⛩|shinto shrine
🕋|islam kaaba Muslim religion
⛲|fountain
⛺|camping tent
🌁|fog foggy
🌃|night night with stars star
🏙|city cityscape
🌄|morning mountain sun sunrise sunrise over mountains
🌅|morning sun sunrise
🌆|city cityscape at dusk dusk evening landscape sunset
🌇|dusk sun sunset
🌉|bridge bridge at night night
♨|hot springs
🎠|carousel horse
🎡|ferris wheel
🎢|roller coaster
💈|barber pole
🎪|circus tent
🚂|engine locomotive railway steam train
🚃|railway car
🚄|high-speed train railway shinkansen speed train
🚅|bullet train
🚆|railway train
🚇|metro subway
🚈|light rail railway
🚉|railway station train
🚊|tram trolleybus
🚝|monorail vehicle
🚞|mountain railway
🚋|tram car
🚌|bus vehicle
🚍|oncoming bus
🚎|bus tram trolley trolleybus
🚐|bus minibus
🚑|ambulance vehicle
🚒|fire engine
🚓|police car
🚔|oncoming police car
🚕|taxi vehicle
🚖|oncoming taxi
🚗|automobile car
🚘|oncoming automobile
🚙|recreational sport utility sport utility vehicle
🛻|pickup truck
🚚|delivery truck
🚛|articulated lorry lorry semi truck
🚜|tractor vehicle
🏎|racing car
🏍|motorcycle racing
🛵|motor scooter
🦽|accessibility manual wheelchair
🦼|accessibility motorized wheelchair
🛺|auto rickshaw tuk tuk
🚲|bicycle bike
🛴|kick scooter
🛹|board skateboard
🛼|roller skate
🚏|bus stop
🛣|highway motorway road
🛤|railway railway track train
🛢|oil drum
⛽|fuel pump
🚨|police car light
🚥|horizontal traffic light light signal traffic
🚦|light signal traffic vertical traffic light
🛑|stop sign
🚧|barrier construction
⚓|anchor ship tool
⛵|boat resort sailboat sea yacht
🛶|boat canoe
🚤|boat speedboat
🛳|passenger ship
⛴|boat ferry passenger
🛥|boat motor boat motorboat
🚢|boat passenger ship
✈|aeroplane airplane
🛩|aeroplane airplane small airplane
🛫|airplane departure
🛬|aeroplane airplane airplane arrival arrivals arriving landing
🪂|hang-glide parachute parasail skydive
