emoji/emoticon|key words
👩‍🦼| accessibility wheelchair woman woman motorized wheelchair 
🧑‍🦽| accessibility person manual wheelchair wheelchair 
👨‍🦽| accessibility man man manual wheelchair wheelchair 
👩‍🦽| accessibility wheelchair woman woman manual wheelchair 
🏃| marathon person running running 
🏃‍♂️| man running 
🏃‍♀️| woman running 
💃| woman dancing 
🕺| man dancing 
🕴| business person person suit levitating suit 
👯| bunny ear dancer partying people bunny ears 
👯‍♂️| bunny ear dancer men men bunny ears partying 
👯‍♀️| bunny ear dancer partying women women bunny ears 
🧖| person steamy room sauna steam room hamas steamboat 
🧖‍♂️| man steamy room sauna steam room 
🧖‍♀️| sauna steam room woman steamy room 
🧗| climber person climbing 
🧗‍♂️| climber man climbing 
🧗‍♀️| climber woman climbing 
🤺| fencer fencing person fencing sword 
🏇| horse racing 
⛷| ski skier snow 
🏂| ski snow snowbound snowboarder 
🏌| ball golf person golfing 
🏌️‍♂️| golf man man golfing 
🏌️‍♀️| golf woman woman golfing 
🏄| person surfing surfing 
🏄‍♂️| man surfing 
🏄‍♀️| woman surfing 
🚣| boat person rowing boat robot 
🚣‍♂️| boat man man rowing boat robot 
🚣‍♀️| boat robot woman woman rowing boat 
🏊| person swimming swim 
🏊‍♂️| man man swimming swim 
🏊‍♀️| swim woman woman swimming 
⛹| ball person bouncing ball 
⛹️‍♂️| ball man man bouncing ball 
⛹️‍♀️| ball woman woman bouncing ball 
🏋| lifter person lifting weights weight 
🏋️‍♂️| man man lifting weights weight lifter 
🏋️‍♀️| weight lifter woman woman lifting weights 
🚴| bicycle biking cyclist person biking 
🚴‍♂️| man biking 
🚴‍♀️| woman biking 
🚵| bicycle bicycles bike cyclist mountain person mountain biking 
🚵‍♂️| bicycle bike cyclist man man mountain biking mountain 
🚵‍♀️| woman mountain biking 
🤸| cartwheel gymnastics person cartwheeling 
🤸‍♂️| cartwheel gymnastics man man cartwheeling 
🤸‍♀️| cartwheel gymnastics woman woman cartwheeling 
🤼| people wrestling wrestle wrestler 
🤼‍♂️| men men wrestling wrestle 
🤼‍♀️| women women wrestling wrestle 
🤽| person playing water polo polo water 
🤽‍♂️| man man playing water polo water polo 
🤽‍♀️| water polo woman woman playing water polo 
🤾| ball handball person playing handball 
🤾‍♂️| handball man man playing handball 
🤾‍♀️| handball woman woman playing handball 
🤹| balance juggle multitask person juggling skill 
🤹‍♂️| man juggling 
🤹‍♀️| woman juggling 
🧘| meditation person lotus position yoga serenity 
🧘‍♂️| man lotus position meditation yoga 
🧘‍♀️| meditation woman lotus position yoga 
🛀| bath bathtub person taking bath 
🛌| hotel person bed sleep 
🧑‍🤝‍🧑| couple hand hold holding hands people holding hands person 
👭| couple hand holding hands women women holding hands 
👫| couple hand hold holding hands man woman woman man holding hands 
👬| couple gemini holding hands man men men holding hands twins zodiac 
💏| couple kiss 
👩‍❤️‍💋‍👨| kiss woman man 
👨‍❤️‍💋‍👨| kiss man man 
👩‍❤️‍💋‍👩| kiss woman woman 
💑| couple couple heart love 
👩‍❤️‍👨| couple heart woman man 
👨‍❤️‍👨| couple heart man man 
👩‍❤️‍👩| couple heart woman woman 
👪| family 
👨‍👩‍👦| family man woman boy 
👨‍👩‍👧| family man woman girl 
👨‍👩‍👧‍👦| family man woman girl boy 
👨‍👩‍👦‍👦| family man woman boy boy 
👨‍👩‍👧‍👧| family man woman girl girl 
👨‍👨‍👦| family man man boy 
👨‍👨‍👧| family man man girl 
👨‍👨‍👧‍👦| family man man girl boy 
👨‍👨‍👦‍👦| family man man boy boy 
👨‍👨‍👧‍👧| family man man girl girl 
👩‍👩‍👦| family woman woman boy 
👩‍👩‍👧| family woman woman girl 
👩‍👩‍👧‍👦| family woman woman girl boy 
👩‍👩‍👦‍👦| family woman woman boy boy 
👩‍👩‍👧‍👧| family woman woman girl girl 
👨‍👦| family man boy 
👨‍👦‍👦| family man boy boy 
👨‍👧| family man girl 
👨‍👧‍👦| family man girl boy 
👨‍👧‍👧| family man girl girl 
👩‍👦| family woman boy 
👩‍👦‍👦| family woman boy boy 
👩‍👧| family woman girl 
👩‍👧‍👦| family woman girl boy 
👩‍👧‍👧| family woman girl girl 
🗣| speaking head 
👤| bust bust silhouette silhouette 
👥| bust busts silhouette silhouette 
🫂| goodbye hello hug people hugging thanks 
👣| clothing footprint footprints print 
🦰| ginger red hair redhead 
🦱| afro curly curly hair ringlets 
🦳| white hair 
🦲| bald chemotherapy hairless no hair shaven 
🐵| monkey face 
🐒| monkey 
🦍| gorilla 
🦧| ape orangutan 
🐶| dog face 
🐕| dog pet 
🦮| accessibility blind guide guide dog 
🐕‍🦺| service dog 
🐩| dog poodle 
🐺| face wolf 
🦊| face fox 
🦝| curious raccoon sly 
🐱| cat face 
🐈| cat pet 
🐈‍⬛| black cat 
🦁| face leo lion zodiac 
🐯| tiger face 
🐅| tiger 
🐆| leopard 
🐴| horse face 
🐎| equestrian horse racehorse racing 
🦄| face unicorn 
🦓| stripe zebra 
🦌| deer 
🦬| bison buffalo herd wisest 
🐮| cow face 
🐂| bull ox taurus zodiac 
🐃| water buffalo 
🐄| cow 
🐷| pig face 
🐖| pig sow 
🐗| boar pig 
🐽| pig nose 
🐏| aries male ram sheep zodiac 
🐑| ewe female sheep 
🐐| capricorn goat zodiac 
🐪| camel dromedary hump 
🐫| bacteria camel hump two hump camel 
🦙| alpaca unaco llama vice wool 
🦒| giraffe spots 
🐘| elephant 
🦣| extinction large mammoth tusk woolly 
🦏| rhinoceros 
🦛| hippo hippopotamus 
🐭| mouse face 
🐁| mouse 
🐀| rat 
🐹| face hamster pet 
🐰| rabbit face 
🐇| bunny pet rabbit 
🐿| chipmunk squirrel 
🦫| beaver dam 
🦔| hedgehog spiny 
🦇| bat vampire 
🐻| bear face 
🐻‍❄️| arctic bear polar bear white 
🐨| bear koala 
🐼| face panda 
🦥| lazy sloth slow 
🦦| fishing otter playful 
🦨| skunk stink 
🦘| australia joey jump kangaroo marsupial 
🦡| badger honey badger pester 
🐾| feet paw paw prints print 
🦃| bird turkey 
🐔| bird chicken 
🐓| bird rooster 
🐣| hatching chick 
🐤| baby chick 
🐥| baby bird chick front facing baby chick 
🐦| bird 
🐧| bird penguin 
🕊| bird dove fly peace 
🦅| bird eagle 
🦆| bird duck 
🦢| bird cygnet swan ugly duckling 
🦉| bird owl wise 
🦤| dodo extinction large mauritius 
🪶| bird feather flight light plumage 
🦩| flamboyant flamingo tropical 
🦚| bird ostentatious peacock peahens proud 
🦜| bird parrot pirate talk 
🐸| face frog 
🐊| crocodile 
🐢| terrapin tortoise turtle 
🦎| lizard reptile 
🐍| bearer ophiuchus serpent snake zodiac 
🐲| dragon face 
🐉| dragon fairy tale 
🦕| brachiosaurus brontosaurus diplodocus sauropod 
🦖| rex tyrannosaurus rex 
🐳| spouting whale 
🐋| whale 
🐬| dolphin flipper 
🦭| sea lion seal 
🐟| fish pisces zodiac 
🐠| tropical fish 
🐡| brownish fish 
🦈| fish shark 
🐙| octopus 
🐚| spiral shell 
🐌| snail 
🦋| butterfly insect pretty 
🐛| bug insect 
🐜| ant insect 
🐝| bee honeybee insect 
🪲| beetle bug insect 
🐞| beetle insect lady beetle ladybird ladybug 
🦗| cricket grasshopper orthoptera 
🪳| cockroach insect pest roach 
🕷| insect spider 
🕸| spider web 
🦂| scorpio scorpio scorpion zodiac 
🦟| disease fever malaria mosquito pest virus 
🪰| disease fly maggot pest rotting 
🪱| annelids earthworm parasite worm 
🦠| amoeba bacteria microbe virus 
💐| bouquet flower 
🌸| cherry blossom 
💮| flower white flower 
🏵| plant rosette 
🌹| flower rose 
🥀| wilted flower 
🌺| flower hibiscus 
🌻| flower sun sunflower 
🌼| blossom flower 
🌷| flower tulip 
🌱| seedling young 
🪴| boring grow house nurturing plant potted plant useless 
🌲| evergreen tree tree 
🌳| deciduous tree 
🌴| palm tree 
🌵| cactus plant 
🌾| ear grain rice sheaf rice 
🌿| herb leaf 
☘| plant shamrock 
🍀| four leaf clover 
🍁| maple leaf 
🍂| fallen leaf falling leaf 
🍃| blow flutter leaf leaf fluttering wind wind 
🍇| fruit grape grapes 
🍈| fruit melon 
🍉| fruit watermelon 
🍊| fruit orange tangerine 
🍋| citrus fruit lemon 
🍌| banana fruit 
🍍| fruit pineapple 
🥭| fruit mango tropical 
🍎| red apple 
🍏| green apple 
🍐| fruit pear 
🍑| fruit peach 
🍒| berries cherries cherry fruit red 
🍓| berry fruit strawberry 
🫐| berry bilberry blue blueberries blueberry 
🥝| kiwi fruit 
🍅| fruit tomato vegetable 
🫒| food olive 
🥥| coconut palm pi cold 
🥑| avocado food fruit 
🍆| aubergine eggplant vegetable 
🥔| food potato vegetable 
🥕| carrot food vegetable 
🌽| corn ear ear corn maize maze 
🌶| hot pepper 
🫑| bell pepper caesium pepper vegetable 
🥒| cucumber food pickle vegetable 
🥬| bok chop cabbage kale leafy green lettuce 
🥦| broccoli wild cabbage 
🧄| flavouring garlic 
🧅| flavouring onion 
🍄| mushroom toadstool 
🥜| food nut peanut peanuts vegetable 
🌰| chestnut plant 
🍞| bread loaf 
🥐| bread breakfast croissant food french roll 
🥖| baguette bread 
🫓| area flatbed lavish nana pity 
🥨| pretzels twisted convoluted 
🥯| babel bakery breakfast scholar 
🥞| breakfast cr pe food hoylake pancake pancakes 
🧇| breakfast indecisive iron waffle 
🧀| cheese cheese wedge 
🍖| bone meat meat bone 
🍗| poultry leg 
🥩| chop cut meat lambchop workshop steak 
🥓| bacon breakfast food meat 
🍔| burger hamburger 
🍟| french fries 
🍕| cheese pizza slice 
🌭| frankfurter hot dog hot-dog sausage 
🥪| bread sandwich 
🌮| mexican taco 
🌯| burrito mexican wrap 
🫔| mexican table wrapped 
🥙| stuffed flatbed 
🧆| chickpeas falae meatballs 
🥚| breakfast egg food 
🍳| breakfast cooking egg frying pan 
🥘| casserole food paella pan shallow shallow pan food 
🍲| pot pot food stew 
🫕| cheese chocolate fondue melted pot swiss 
🥣| bowl spoon breakfast cereal conger oatmeal porridge 
🥗| green salad 
🍿| popcorn 
🧈| butter dairy 
🧂| condiment salt shaker 
🥫| canned food 
🍱| bent box 
🍘| rice cracker 
🍙| rice ball 
🍚| cooked rice 
🍛| curry rice 
🍜| steaming bowl 
🍝| pasta spaghetti 
🍠| roasted sweet potato 
🍢| kebab open seafood skewer stick 
🍣| sushi 
🍤| fried shrimp 
🍥| cake fish fish cake swirl pastry swirl 
🥮| autumn festival moon cake yu b ng 
🍡| mango dessert japanese skewer stick sweet 
🥟| dumpling empanada gy jiaozi piero potsticker 
🥠| fortune cookie prophecy 
🥡| oyster pail take-out box 
🦀| cancer crab zodiac 
🦞| bisque claws lobster seafood 
🦐| food shellfish shrimp small 
🦑| food mollusc squid 
🦪| diving oyster pearl 
🍦| soft ice cream 
🍧| shaved ice 
🍨| ice cream 
🍩| breakfast dessert dont doughnut sweet 
🍪| cookie dessert sweet 
🎂| birthday cake 
🍰| cake dessert pastry shortage slice sweet 
🧁| bakery uptake sweet 
🥧| filling pastry pie fruit meat 
🍫| chocolate bar 
🍬| candy dessert sweet 
🍭| candy dessert lollipop sweet 
🍮| custard dessert pudding sweet 
🍯| honey pot 
🍼| baby bottle 
🥛| drink glass glass milk milk 
☕| hot beverage 
🫖| drink pot tea teapot 
🍵| beverage cup drink tea teacup teacup without handle 
🍶| bar beverage bottle cup drink sake 
🍾| bar bottle bottle popping cork cork drink popping 
🍷| wine glass 
🍸| cocktail glass 
🍹| tropical drink 
🍺| beer mug 
🍻| bar beer clink clinking beer mugs drink mug 
🥂| celebrate clink clinking glasses drink glass 
🥃| tumbler glass 
🥤| cup straw juice soda malt soft drink water 
🧋| bubble tea 
🧃| beverage box 
🧉| drink mate 
🧊| cold ice ice cube iceberg 
🥢| chopsticks hash jeotgarak kuwaiti 
🍽| cooking fork fork knife plate knife plate 
🍴| cooking cutlery fork fork knife knife 
🥄| spoon tableware 
🔪| cooking hoch kitchen knife knife tool weapon 
🏺| amphora aquarius cooking drink jug zodiac 
🌍| africa earth europe globe globe showing europe africa world 
🌎| americas earth globe globe showing americas world 
🌏| asia australia earth globe globe showing asia australia world 
🌐| earth globe globe meridians meridians world 
🗺| world map 
🗾| japan map map japan 
🧭| compass magnetic navigation orienteering 
🏔| cold mountain snow snow capped mountain 
⛰| mountain 
🌋| eruption mountain volcano 
🗻| fuji mount fuji mountain 
🏕| camping 
🏖| beach beach umbrella umbrella 
🏜| desert 
🏝| desert island 
🏞| national park park 
🏟| stadium 
🏛| classical classical building 
🏗| building construction construction 
🧱| brick bricks clay mortar wall 
🪨| boulder heavy rock solid stone 
🪵| log lumber timber wood 
🛖| house hut roundhouse yurt 
🏘| houses 
🏚| derelict house 
🏠| home house 
🏡| garden home house house garden 
🏢| building office building 
🏣| japanese japanese post office post 
🏤| european post post office 
🏥| doctor hospital medicine 
🏦| bank building 
🏨| building hotel 
🏩| love hotel 
🏪| convenience store 
🏫| building school 
🏬| department store 
🏭| building factory 
🏯| japanese castle 
🏰| castle european 
💒| chapel romance wedding 
🗼| tokyo tower 
🗽| liberty statue statue liberty 
⛪| christian church cross religion 
🕌| islam mosque muslim religion 
🛕| hindu temple 
🕍| jew jewish religion synagogue temple 
⛩| shinto shrine 
🕋| islam ababa muslim religion 
⛲| fountain 
⛺| camping tent 
🌁| fog foggy 
🌃| night night stars star 
🏙| city cityscape 
🌄| morning mountain sun sunrise sunrise mountains 
🌅| morning sun sunrise 
🌆| city cityscape dusk dusk evening landscape sunset 
🌇| dusk sun sunset 
🌉| bridge bridge night night 
♨| hot springs 
🎠| carousel horse 
🎡| ferris wheel 
🎢| roller coaster 
💈| barber pole 
🎪| circus tent 
🚂| engine locomotive railway steam train 
🚃| railway car 
🚄| high speed train railway shinkansen speed train 
🚅| bullet train 
🚆| railway train 
🚇| metro subway 
🚈| light rail railway 
🚉| railway station train 
🚊| tram trolleybus 
🚝| monorail vehicle 
🚞| mountain railway 
🚋| tram car 
🚌| bus vehicle 
🚍| oncoming bus 
🚎| bus tram trolley trolleybus 
🚐| bus minibus 
🚑| ambulance vehicle 
🚒| fire engine 
🚓| police car 
🚔| oncoming police car 
🚕| taxi vehicle 
🚖| oncoming taxi 
🚗| automobile car 
🚘| oncoming automobile 
🚙| recreational sport utility sport utility vehicle 
🛻| pickup truck 
🚚| delivery truck 
🚛| articulated lorry lorry semi truck 
